partner,border,comlang,dist,pop,gdp,gdpcap,colony,gatt,rta,EU,import,export,tradevalue
TZA,0,1,7456.554,53.47042,4.56E+10,853.3362,1,1,0,0,20826.69,5837.231,26663.92
UGA,0,1,6567.337,39.03238,2.75E+10,705.2925,1,1,0,0,14991.89,1560.193,16552.08
UKR,0,0,2450.889,45.1982,9.06E+10,2004.837,0,1,1,0,102274.7,18639.04,120913.7
URY,0,0,11023.59,3.431555,5.34E+10,15573.9,0,1,0,0,54005.52,2442.955,56448.48
USA,0,1,6878.493,321.4188,1.80E+13,56115.72,1,1,0,0,1354967,810344.1,2165311
UZB,0,0,5261.337,31.2995,6.67E+10,2132.07,0,0,0,0,14.044,766.346,780.39
VCT,0,1,6842.959,0.109462,7.38E+08,6739.175,1,1,1,0,842.108,4393.023,5235.131
VNM,0,0,9941.448,91.7038,1.94E+11,2111.138,0,1,0,0,416850.1,61195.97,478046.1
VUT,0,1,15966.43,0.264652,7.42E+08,2805.314,1,1,0,0,132.137,0,132.137
WSM,0,1,15638.43,0.193228,7.61E+08,3938.549,0,1,0,0,0,4.8,4.8
YEM,0,0,5837.195,26.83221,3.77E+10,1406.292,1,1,0,0,1037.413,10814.09,11851.51
ZAF,0,1,9488.882,54.95692,3.15E+11,5723.973,1,1,1,0,660078.1,116393.8,776471.9
ZAR,0,0,6752.545,77.26682,3.52E+10,456.0527,0,1,0,0,448.65,3226.012,3674.662
ZMB,0,1,7956.638,16.21177,2.12E+10,1304.879,1,1,0,0,3472.75,1899.656,5372.406
ZWE,0,1,8491.411,15.60275,1.44E+10,924.1438,1,1,0,0,22453.63,2139.01,24592.63
