"","census2019","covid.19.deaths","urban.rural.description","series_complete_pop_pct"
"448",38459,NA,"Medium central metro",54.8
"449",35777,NA,"Micropolitan",33.1
"450",379299,2110,"Medium central metro",52.5
"451",83779,342,"Small central metro",59.8
"452",8748,NA,"Small central metro",42
"453",11758,NA,"Micropolitan",46.8
"454",67843,197,"Large central metro",70.8
"455",15092,NA,"Large central metro",51
"456",20257,NA,"Small central metro",35.6
"457",37689,122,"Micropolitan",45.7
"458",118302,357,"Large central metro",60.4
"459",26225,NA,"Small central metro",56.2
"460",32399,NA,"Micropolitan",48.3
"461",10577,NA,"Rural",37.4
"462",33351,110,"Micropolitan",33.1
"463",49458,161,"Large central metro",61.9
"464",26559,110,"Micropolitan",48.2
"465",43475,119,"Micropolitan",42.5
"466",114135,665,"Small central metro",48.6
"467",42736,186,"Micropolitan",57.4
"468",206341,790,"Small central metro",43.1
"469",23102,NA,"Micropolitan",40.1
"470",78522,540,"Large central metro",56.7
"471",16346,NA,"Micropolitan",46.9
"472",22758,NA,"Micropolitan",37.9
"473",19974,NA,"Micropolitan",40
"474",33659,NA,"Micropolitan",46.6
"475",65769,313,"Micropolitan",42.1
"476",31922,101,"Micropolitan",41.4
"477",338011,693,"Large central metro",71.4
"478",78168,265,"Large central metro",67.8
"479",40515,104,"Large central metro",51
"480",170311,737,"Large central metro",72
"481",47972,128,"Micropolitan",52.3
"482",82544,501,"Small central metro",47.5
"483",36520,NA,"Micropolitan",50.5
"484",44231,154,"Micropolitan",53.2
"485",33562,NA,"Large central metro",47.5
"486",20436,NA,"Micropolitan",38.9
"487",32308,217,"Micropolitan",56.1
"488",27735,NA,"Micropolitan",40.7
"489",158167,348,"Large central metro",58.6
"490",36594,245,"Micropolitan",49.4
"491",79456,133,"Micropolitan",40.8
"492",39614,NA,"Micropolitan",22.6
"493",485493,2450,"Large central metro",56.7
"494",109888,398,"Small central metro",56.2
"495",45370,159,"Micropolitan",49.5
"496",129569,622,"Large central metro",52.6
"497",964582,4397,"Large central metro",56
"498",46258,162,"Micropolitan",44.8
"499",10255,NA,"Micropolitan",45.3
"500",35516,103,"Micropolitan",40.3
"501",148431,525,"Small central metro",58.9
"502",38338,NA,"Micropolitan",45.7
"503",70489,173,"Large central metro",54.1
"504",13984,NA,"Large central metro",31.9
"505",47744,NA,"Micropolitan",38.7
"506",5875,NA,"Large central metro",75.7
"507",19646,NA,"Micropolitan",55.7
"508",20799,NA,"Small central metro",42.7
"509",16937,NA,"Micropolitan",39.6
"510",19169,NA,"Micropolitan",56.8
"511",12389,NA,"Rural",57.7
"512",170389,517,"Large central metro",57.1
"513",25427,NA,"Medium central metro",47.5
"514",12353,NA,"Micropolitan",45.5
"515",37576,NA,"Large central metro",42.7
"516",24665,NA,"Micropolitan",45.6
"517",28324,113,"Micropolitan",48.2
"518",16581,NA,"Micropolitan",47
"519",271826,984,"Medium central metro",58.5
"520",23873,NA,"Large central metro",44.1
"521",44729,163,"Large central metro",58
"522",20277,NA,"Rural",44.6
"523",22995,NA,"Micropolitan",37.3
"524",34594,NA,"Micropolitan",47.5
"525",20669,NA,"Small central metro",49.5
"526",10751,NA,"Rural",31.1
"527",195732,764,"Small central metro",57.6
"528",15148,NA,"Micropolitan",45.3
"529",7054,NA,"Large central metro",49.8
"530",181451,1083,"Medium central metro",57.5
"531",15498,NA,"Small central metro",47
"532",107038,646,"Small central metro",49.8
"533",30996,114,"Micropolitan",41.3
"534",8265,NA,"Rural",45.8
"535",62998,538,"Medium central metro",62.5
"536",28036,NA,"Large central metro",40.1
"537",65884,517,"Micropolitan",49.9
"538",28296,NA,"Medium central metro",41.8
"539",24102,NA,"Micropolitan",54.7
"540",33964,NA,"Medium central metro",47.1
"541",7152,NA,"Rural",49.4
"542",3602,NA,"Rural",56.4
"543",13687,NA,"Micropolitan",53.6
"544",12426,NA,"Micropolitan",47.6
"545",5496,NA,"Rural",58.4
